Keyword,Strathclyde URL,Southampton URL
Maritime,https://pureportal.strath.ac.uk/en/publications/?originalSearch=Maritime&pageSize=50&ordering=rating&descending=true&showAdvanced=false&orConceptIds=5f32678d-ee41-4ebd-b2b2-2c0e176f0922&orConceptIds=14adcf7b-7ebb-41b0-b1eb-691f6eabe8d5&orConceptIds=63656f2e-96ff-4009-a3d6-31219f125993&orConceptIds=e937456a-e500-4666-b070-63070ea59195&orConceptIds=db6f8454-0682-4e60-84c6-005ed7627d12&allConcepts=false&inferConcepts=false&checkedConcepts=5f32678d-ee41-4ebd-b2b2-2c0e176f0922%2C14adcf7b-7ebb-41b0-b1eb-691f6eabe8d5%2C63656f2e-96ff-4009-a3d6-31219f125993%2Ce937456a-e500-4666-b070-63070ea59195%2Cdb6f8454-0682-4e60-84c6-005ed7627d12&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Maritime
Naval Ships,https://pureportal.strath.ac.uk/en/publications/?originalSearch=Naval+Ships&pageSize=50&ordering=rating&descending=true&showAdvanced=false&orConceptIds=291d656d-bff8-4b39-8206-aebd42f3c402&allConcepts=false&inferConcepts=false&checkedConcepts=291d656d-bff8-4b39-8206-aebd42f3c402&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Naval+Ships
Artificial Intelligence,https://pureportal.strath.ac.uk/en/publications/?originalSearch=Artificial+Intelligence&pageSize=50&ordering=rating&descending=true&showAdvanced=false&orConceptIds=c3070317-15d3-496f-acf7-f24e6e24d468&orConceptIds=12083d38-856b-44e7-920a-0623af9e7df6&orConceptIds=3079ce78-ad72-41a1-833e-7322abdcdeb7&orConceptIds=26410c2b-9910-4b36-b08f-34cf9e3b6d3a&orConceptIds=4e514c0b-cf47-490f-a4bb-3b13d6db2967&allConcepts=false&inferConcepts=false&checkedConcepts=c3070317-15d3-496f-acf7-f24e6e24d468%2C12083d38-856b-44e7-920a-0623af9e7df6%2C3079ce78-ad72-41a1-833e-7322abdcdeb7%2C26410c2b-9910-4b36-b08f-34cf9e3b6d3a%2C4e514c0b-cf47-490f-a4bb-3b13d6db2967&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Artificial+Intelligence
T26,https://pureportal.strath.ac.uk/en/publications/?search=T26&originalSearch=T26&pageSize=50&ordering=rating&descending=true&showAdvanced=false&allConcepts=true&inferConcepts=true&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=T26
T45,https://pureportal.strath.ac.uk/en/publications/?search=T45&originalSearch=T45&pageSize=50&ordering=rating&descending=true&showAdvanced=false&allConcepts=true&inferConcepts=true&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=T45
Destroyer,https://pureportal.strath.ac.uk/en/publications/?search=Destroyer&originalSearch=Destroyer&pageSize=50&ordering=rating&descending=true&showAdvanced=false&allConcepts=true&inferConcepts=true&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Destroyer
Ship Building,https://pureportal.strath.ac.uk/en/publications/?originalSearch=Ship+Building&pageSize=50&ordering=rating&descending=true&showAdvanced=false&orConceptIds=b02a1eb5-2c91-4ed0-a63f-08a0112c64d7&orConceptIds=0dda2910-d6e0-4ed7-b542-9d4b916d3de2&orConceptIds=4464c389-3d5a-438f-9ca6-42733ceaa77d&allConcepts=false&inferConcepts=false&checkedConcepts=b02a1eb5-2c91-4ed0-a63f-08a0112c64d7%2C0dda2910-d6e0-4ed7-b542-9d4b916d3de2%2C4464c389-3d5a-438f-9ca6-42733ceaa77d&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Ship+Building
Software Engineering,https://pureportal.strath.ac.uk/en/publications/?originalSearch=Software+Engineering&pageSize=50&ordering=rating&descending=true&showAdvanced=false&orConceptIds=71c6fd10-1bf6-40ba-a9e0-4bf78018ce06&orConceptIds=b3a67b81-d7e8-4603-afe2-8359cde432de&orConceptIds=fc1fdbac-c24e-4252-a504-1671f1b74398&orConceptIds=e0abff15-bd4b-4063-98b0-b5fed7bc8b21&allConcepts=false&inferConcepts=false&checkedConcepts=71c6fd10-1bf6-40ba-a9e0-4bf78018ce06%2Cb3a67b81-d7e8-4603-afe2-8359cde432de%2Cfc1fdbac-c24e-4252-a504-1671f1b74398%2Ce0abff15-bd4b-4063-98b0-b5fed7bc8b21&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Software+Engineering
Air,https://pureportal.strath.ac.uk/en/publications/?originalSearch=Air&pageSize=50&ordering=rating&descending=true&showAdvanced=false&orConceptIds=e46cd0f4-1c44-42bc-858e-6eaa4d49f4ef&orConceptIds=775ac778-02af-4560-aca9-f1d702fcc8ae&orConceptIds=3e195628-3cd5-43c5-bbe8-e7152d972490&orConceptIds=909f2f56-11ae-42e0-a28f-ee598378ab3e&orConceptIds=e98d8d90-0602-4c24-8969-0cf61be8a7d6&allConcepts=false&inferConcepts=false&checkedConcepts=e46cd0f4-1c44-42bc-858e-6eaa4d49f4ef%2C775ac778-02af-4560-aca9-f1d702fcc8ae%2C3e195628-3cd5-43c5-bbe8-e7152d972490%2C909f2f56-11ae-42e0-a28f-ee598378ab3e%2Ce98d8d90-0602-4c24-8969-0cf61be8a7d6&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Air
Navy,https://pureportal.strath.ac.uk/en/publications/?originalSearch=Navy&pageSize=50&ordering=rating&descending=true&showAdvanced=false&orConceptIds=d47dc8eb-a0c1-4dc1-9a04-a73bda2fc6e0&orConceptIds=b0473fe7-1a06-4ab3-b409-c5fd1e3071a8&orConceptIds=c952cd2f-c5e7-4614-82be-4c7fb6e1a3e5&orConceptIds=26be2326-7390-4275-a8dc-4d1c48609257&orConceptIds=58808e4b-10be-4c85-9816-021613989658&allConcepts=false&inferConcepts=false&checkedConcepts=d47dc8eb-a0c1-4dc1-9a04-a73bda2fc6e0%2Cb0473fe7-1a06-4ab3-b409-c5fd1e3071a8%2Cc952cd2f-c5e7-4614-82be-4c7fb6e1a3e5%2C26be2326-7390-4275-a8dc-4d1c48609257%2C58808e4b-10be-4c85-9816-021613989658&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Navy
Royal Navy,https://pureportal.strath.ac.uk/en/publications/?originalSearch=Royal+Navy&pageSize=50&ordering=rating&descending=true&showAdvanced=false&orConceptIds=db130dc0-e728-4152-9993-46aac273be65&allConcepts=false&inferConcepts=false&checkedConcepts=db130dc0-e728-4152-9993-46aac273be65&searchBy=RelatedConcepts,https://www.southampton.ac.uk/research/search/publications?search_api_fulltext=Royal+Navy
